,District,Population (2019),Area (km²),Density (per km²)
0,Adalar,15238,11.05,1379
1,Arnavutköy,282488,450.35,627
2,Ataşehir,425094,25.23,16849
3,Avcılar,448882,42.01,10685
4,Bahçelievler,611059,16.62,36766
5,Bakırköy,229239,29.64,7734
6,Bayrampaşa,274735,9.61,28588
7,Bağcılar,745125,22.36,33324
8,Başakşehir,460259,104.30,4413
9,Beykoz,248260,310.36,800
10,Beylikdüzü,352412,37.78,9328
11,Beyoğlu,233323,8.91,26187
12,Beşiktaş,182649,18.01,10142
13,Büyükçekmece,254103,139.17,1826
14,Esenler,450344,18.43,24435
15,Esenyurt,954579,43.13,22133
16,Eyüpsultan,400513,228.42,1753
17,Fatih,443090,15.59,28421
18,Gaziosmanpaşa,491962,11.76,41834
19,Güngören,289441,7.21,40144
20,Kadıköy,482713,25.09,19239
21,Kartal,470676,38.54,12213
22,Kağıthane,448025,14.87,30129
23,Küçükçekmece,792821,37.54,21119
24,Maltepe,513316,52.97,9691
25,Pendik,711894,179.99,3955
26,Sancaktepe,436733,62.42,6997
27,Sarıyer,347214,175.39,1980
28,Silivri,193680,869.52,223
29,Sultanbeyli,336021,29.14,11531
30,Sultangazi,534565,36.30,14726
31,Tuzla,267400,123.63,2163
32,Zeytinburnu,293574,11.59,25330
33,Çatalca,73718,1115.13,66
34,Çekmeköy,264508,148.09,1786
35,Ümraniye,710280,45.31,15676
36,Üsküdar,531825,35.33,15053
37,Şile,37692,781.72,48
38,Şişli,279817,10.71,26127
